childid,round,yc,theta_eap,read_score,country,group,language
ET010074,4,1,-0.368140996,-0.204434574,1,5,1
ET010075,4,1,0.506169021,0.780920088,1,5,1
ET010076,4,1,-0.147346005,0.044403221,1,5,1
ET010077,4,1,0.153922006,0.383934766,1,5,1
ET010079,4,1,0.663793981,0.958564758,1,5,1
ET010080,4,1,-1.455770016,-1.43020153,1,5,1
ET010081,4,1,0.915700972,1.242465973,1,5,1
ET010082,4,1,1.217190027,1.582246661,1,5,1
ET010083,4,1,0.907851994,1.233620167,1,5,1
ET010084,4,1,-0.192182004,-0.006127324,1,5,1
ET010085,4,1,-0.407029003,-0.248261675,1,5,1
ET010086,4,1,1.167670012,1.526437163,1,5,1
ET010087,4,1,0.745121002,1.050220966,1,5,1
ET010088,4,1,0.806671023,1.119588375,1,5,1
ET010089,4,1,-0.973823011,-0.887043238,1,5,1
ET010090,4,1,0.531278014,0.809218109,1,5,1
ET010091,4,1,1.46686995,1.863638043,1,5,1
ET010092,4,1,1.192659974,1.554601073,1,5,1
ET010093,4,1,1.807199955,2.24719286,1,5,1
ET010094,4,1,0.980587006,1.315593123,1,5,1
ET010095,4,1,0.534887016,0.81328553,1,5,1
ET010096,4,1,0.713483989,1.014565825,1,5,1
ET010097,4,1,0.810862005,1.124311566,1,5,1
ET010098,4,1,1.03184998,1.373366952,1,5,1
ET010099,4,1,0.657396019,0.951354146,1,5,1
ET010100,4,1,-0.241363004,-0.061554719,1,5,1
ET020001,4,1,-0.599300981,-0.46495378,1,5,1
ET020002,4,1,0.655372977,0.949074209,1,5,1
ET020003,4,1,1.026239991,1.367044449,1,5,1
ET020004,4,1,0.43325299,0.698743105,1,5,1
ET020005,4,1,0.0395898,0.255081415,1,5,1
ET020007,4,1,-0.055306699,0.14813228,1,5,1
ET020008,4,1,1.162109971,1.520171046,1,5,1
ET020011,4,1,0.771125972,1.079528809,1,5,1
ET020012,4,1,-0.189853996,-0.003503639,1,5,1
ET020013,4,1,0.0240377,0.237554088,1,5,1
ET020014,4,1,-1.015709996,-0.934250236,1,5,1
ET020015,4,1,0.785007,1.095172763,1,5,1
ET020017,4,1,1.107720017,1.458873034,1,5,1
ET020018,4,1,0.481038004,0.752597213,1,5,1
ET020019,4,1,1.036630034,1.37875402,1,5,1
ET020020,4,1,-0.914124012,-0.819761992,1,5,1
ET020023,4,1,-1.121960044,-1.053994894,1,5,1
ET020024,4,1,0.354618996,0.610121965,1,5,1
ET020025,4,1,0.769362986,1.077541828,1,5,1
ET020026,4,1,-0.324750006,-0.155532569,1,5,1
ET020027,4,1,1.370609999,1.755152225,1,5,1
ET020028,4,1,-1.344249964,-1.304517508,1,5,1
ET020029,4,1,0.688742995,0.986682475,1,5,1
ET020030,4,1,0.72586602,1.028520465,1,5,1
ET020031,4,1,0.158328995,0.388901502,1,5,1
ET020032,4,1,-0.0417656,0.163393214,1,5,1
ET020033,4,1,-0.555581987,-0.415682137,1,5,1
ET020034,4,1,-0.622076988,-0.49062255,1,5,1
ET020035,4,1,-0.182455003,0.004835087,1,5,1
ET020036,4,1,0.177967995,0.411034793,1,5,1
ET020037,4,1,0.455071002,0.723332167,1,5,1
ET020038,4,1,-0.479160011,-0.329553932,1,5,1
ET020039,4,1,-0.142370999,0.050010093,1,5,1
ET020040,4,1,0.618553996,0.907578886,1,5,1
ET020041,4,1,0.94196099,1.272061229,1,5,1
ET020042,4,1,-0.819006979,-0.71256429,1,5,1
ET020043,4,1,0.930233002,1.25884378,1,5,1
ET020044,4,1,-0.185332,0.001592688,1,5,1
ET020045,4,1,0.469462007,0.739551008,1,5,1
ET020046,4,1,0.919972003,1.247279525,1,5,1
ET020047,4,1,0.896624982,1.220967174,1,5,1
ET020048,4,1,1.070180058,1.41656518,1,5,1
ET020049,4,1,0.788109004,1.098668814,1,5,1
ET020050,4,1,1.55140996,1.958915353,1,5,1
ET020051,4,1,-0.565008998,-0.426306456,1,5,1
ET020052,4,1,-0.064363599,0.137925088,1,5,1
ET020053,4,1,0.367935985,0.625130296,1,5,1
ET020055,4,1,0.649953008,0.942965865,1,5,1
ET020056,4,1,-1.163640022,-1.100968599,1,5,1
ET020058,4,1,1.514009953,1.916765213,1,5,1
ET020059,4,1,1.162629962,1.520757079,1,5,1
ET020060,4,1,0.257414013,0.500571132,1,5,1
ET020061,4,1,-0.70322299,-0.582074761,1,5,1
ET020062,4,1,0.051496401,0.268500268,1,5,1
ET020064,4,1,0.883046985,1.205664635,1,5,1
ET020065,4,1,0.699985027,0.999352336,1,5,1
ET020066,4,1,0.777693987,1.08693099,1,5,1
ET020067,4,1,0.626401007,0.916422546,1,5,1
ET020068,4,1,0.220311001,0.458755732,1,5,1
ET020070,4,1,-0.82230401,-0.716280043,1,5,1
ET020071,4,1,0.82882601,1.144557238,1,5,1
ET020072,4,1,-0.091862097,0.106934048,1,5,1
ET020073,4,1,0.235755995,0.476162374,1,5,1
ET020074,4,1,-0.225426003,-0.043593585,1,5,1
ET020075,4,1,-0.306154013,-0.134574726,1,5,1
ET020076,4,1,-1.108729959,-1.039084435,1,5,1
ET020077,4,1,-1.360949993,-1.323338509,1,5,1
ET020078,4,1,-1.442080021,-1.414772749,1,5,1
ET020079,4,1,0.51571399,0.791677356,1,5,1
ET020080,4,1,0.155420005,0.385623038,1,5,1
ET020081,4,1,-1.435009956,-1.4068048,1,5,1
ET020082,4,1,1.131659985,1.485853553,1,5,1
ET020083,4,1,0.209964007,0.447094589,1,5,1
ET020084,4,1,1.21036005,1.574549198,1,5,1
ET020085,4,1,0.332745999,0.585470915,1,5,1
ET020086,4,1,0.903792024,1.229044557,1,5,1
ET020087,4,1,0.32892099,0.581160069,1,5,1
ET020088,4,1,0.929979026,1.258557439,1,5,1
ET020090,4,1,0.188335001,0.422718495,1,5,1
ET020091,4,1,0.731278002,1.034619808,1,5,1
ET020092,4,1,0.308510989,0.558157861,1,5,1
ET020093,4,1,-0.0244582,0.182898805,1,5,1
ET020094,4,1,0.419220001,0.682927847,1,5,1
ET020095,4,1,0.927340984,1.255584359,1,5,1
ET020097,4,1,0.655856013,0.949618578,1,5,1
ET020098,4,1,0.246107996,0.487829149,1,5,1
ET020099,4,1,0.470438987,0.740652025,1,5,1
ET020100,4,1,0.449158013,0.716668189,1,5,1
ET030001,4,1,0.508939028,0.784041882,1,5,1
ET030002,4,1,0.542522013,0.821890235,1,5,1
ET030003,4,1,-0.241456002,-0.06165953,1,5,1
ET030004,4,1,0.48220101,0.753907919,1,5,1
ET030005,4,1,0.591279984,0.87684083,1,5,1
ET030006,4,1,1.367750049,1.751929045,1,5,1
ET030007,4,1,1.02857995,1.369681597,1,5,1
ET030008,4,1,1.341179967,1.721984386,1,5,1
ET030009,4,1,0.991604984,1.32801044,1,5,1
ET030010,4,1,-0.098154098,0.099842906,1,5,1
ET030011,4,1,-0.734611988,-0.617450416,1,5,1
ET030012,4,1,1.596750021,2.010014057,1,5,1
ET030013,4,1,0.724959016,1.027498245,1,5,1
ET030014,4,1,1.207820058,1.571686625,1,5,1
ET030015,4,1,-0.233915001,-0.053160757,1,5,1
ET030016,4,1,0.239840001,0.480765074,1,5,1
ET030018,4,1,-0.076054901,0.124748886,1,5,1
ET030019,4,1,1.291000009,1.665431142,1,5,1
ET030020,4,1,0.408390999,0.670723438,1,5,1
ET030021,4,1,0.162232995,0.393301338,1,5,1
ET030022,4,1,0.253392994,0.496039391,1,5,1
ET030023,4,1,0.951777995,1.283125162,1,5,1
ET030024,4,1,1.286190033,1.660010219,1,5,1
ET030025,4,1,-0.153369993,0.037614137,1,5,1
ET030026,4,1,0.444456995,0.711370111,1,5,1
ET030027,4,1,-1.431759953,-1.403141975,1,5,1
ET030028,4,1,1.324800014,1.703523993,1,5,1
ET030029,4,1,0.719740987,1.021617413,1,5,1
